time,x,y,z,step,clearWeight,rainWeight,snowWeight,support,bodyClear
5.6777,-0.0005,0.8000,-0.0026,0.00262,1.0000,0.0000,0.0000,True,True
5.6847,-0.0008,0.8000,-0.0042,0.00169,1.0000,0.0000,0.0000,True,True
5.6931,-0.0013,0.8000,-0.0064,0.00221,1.0000,0.0000,0.0000,True,True
5.7014,-0.0018,0.8000,-0.0091,0.00273,1.0000,0.0000,0.0000,True,True
5.7097,-0.0024,0.8000,-0.0123,0.00325,1.0000,0.0000,0.0000,True,True
5.7181,-0.0032,0.8000,-0.0160,0.00377,1.0000,0.0000,0.0000,True,True
5.7264,-0.0040,0.8000,-0.0202,0.00430,1.0000,0.0000,0.0000,True,True
5.7348,-0.0050,0.8000,-0.0249,0.00481,1.0000,0.0000,0.0000,True,True
5.7431,-0.0060,0.8000,-0.0301,0.00534,1.0000,0.0000,0.0000,True,True
5.7514,-0.0072,0.8000,-0.0359,0.00585,1.0000,0.0000,0.0000,True,True
5.7597,-0.0084,0.8000,-0.0421,0.00638,1.0000,0.0000,0.0000,True,True
5.7681,-0.0097,0.8000,-0.0489,0.00690,1.0000,0.0000,0.0000,True,True
5.7764,-0.0112,0.8000,-0.0562,0.00742,1.0000,0.0000,0.0000,True,True
5.7847,-0.0128,0.8000,-0.0640,0.00794,1.0000,0.0000,0.0000,True,True
5.7931,-0.0144,0.8000,-0.0723,0.00846,1.0000,0.0000,0.0000,True,True
5.8013,-0.0162,0.8000,-0.0811,0.00898,1.0000,0.0000,0.0000,True,True
5.8097,-0.0180,0.8000,-0.0904,0.00951,1.0000,0.0000,0.0000,True,True
5.8181,-0.0200,0.8000,-0.1002,0.01002,1.0000,0.0000,0.0000,True,True
5.8264,-0.0220,0.8000,-0.1106,0.01055,1.0000,0.0000,0.0000,True,True
5.8348,-0.0242,0.8000,-0.1214,0.01106,1.0000,0.0000,0.0000,True,True
5.8431,-0.0265,0.8000,-0.1328,0.01159,1.0000,0.0000,0.0000,True,True
5.8514,-0.0288,0.8000,-0.1446,0.01210,1.0000,0.0000,0.0000,True,True
5.8598,-0.0313,0.8000,-0.1570,0.01264,1.0000,0.0000,0.0000,True,True
5.8681,-0.0339,0.8000,-0.1699,0.01314,1.0000,0.0000,0.0000,True,True
5.8764,-0.0366,0.8000,-0.1833,0.01368,1.0000,0.0000,0.0000,True,True
5.8847,-0.0393,0.8000,-0.1972,0.01419,1.0000,0.0000,0.0000,True,True
5.8931,-0.0422,0.8000,-0.2117,0.01472,1.0000,0.0000,0.0000,True,True
5.9014,-0.0452,0.8000,-0.2266,0.01522,1.0000,0.0000,0.0000,True,True
5.9098,-0.0483,0.8000,-0.2421,0.01577,1.0000,0.0000,0.0000,True,True
5.9180,-0.0515,0.8000,-0.2580,0.01627,1.0000,0.0000,0.0000,True,True
5.9264,-0.0547,0.8000,-0.2745,0.01680,1.0000,0.0000,0.0000,True,True
5.9347,-0.0581,0.8000,-0.2915,0.01731,1.0000,0.0000,0.0000,True,True
5.9431,-0.0616,0.8000,-0.3090,0.01784,1.0000,0.0000,0.0000,True,True
5.9514,-0.0652,0.8000,-0.3270,0.01835,1.0000,0.0000,0.0000,True,True
5.9597,-0.0689,0.8000,-0.3455,0.01889,1.0000,0.0000,0.0000,True,True
5.9680,-0.0727,0.8000,-0.3645,0.01939,1.0000,0.0000,0.0000,True,True
5.9764,-0.0766,0.8000,-0.3840,0.01993,1.0000,0.0000,0.0000,True,True
5.9847,-0.0806,0.8000,-0.4041,0.02043,1.0000,0.0000,0.0000,True,True
5.9931,-0.0847,0.8000,-0.4246,0.02098,1.0000,0.0000,0.0000,True,True
6.0014,-0.0889,0.8000,-0.4457,0.02147,1.0000,0.0000,0.0000,True,True
6.0098,-0.0932,0.8000,-0.4673,0.02202,1.0000,0.0000,0.0000,True,True
6.0181,-0.0976,0.8000,-0.4894,0.02252,1.0000,0.0000,0.0000,True,True
6.0264,-0.1021,0.8000,-0.5120,0.02305,1.0000,0.0000,0.0000,True,True
6.0347,-0.1067,0.8000,-0.5351,0.02355,1.0000,0.0000,0.0000,True,True
6.0431,-0.1114,0.8000,-0.5587,0.02410,1.0000,0.0000,0.0000,True,True
6.0514,-0.1162,0.8000,-0.5828,0.02459,1.0000,0.0000,0.0000,True,True
6.0598,-0.1211,0.8000,-0.6075,0.02515,1.0000,0.0000,0.0000,True,True
6.0681,-0.1262,0.8000,-0.6326,0.02564,1.0000,0.0000,0.0000,True,True
6.0765,-0.1313,0.8000,-0.6583,0.02618,1.0000,0.0000,0.0000,True,True
6.0847,-0.1365,0.8000,-0.6845,0.02668,1.0000,0.0000,0.0000,True,True
6.0931,-0.1418,0.8000,-0.7112,0.02722,1.0000,0.0000,0.0000,True,True
6.1014,-0.1472,0.8000,-0.7384,0.02772,1.0000,0.0000,0.0000,True,True
