time,x,y,z,step,clearWeight,rainWeight,snowWeight,support,bodyClear
5.7227,-0.0002,0.8000,-0.0013,0.00130,1.0000,0.0000,0.0000,True,True
5.7304,-0.0003,0.8000,-0.0026,0.00135,1.0000,0.0000,0.0000,True,True
5.7386,-0.0005,0.8000,-0.0045,0.00186,1.0000,0.0000,0.0000,True,True
5.7480,-0.0009,0.8000,-0.0072,0.00275,1.0000,0.0000,0.0000,True,True
5.7552,-0.0012,0.8000,-0.0097,0.00255,1.0000,0.0000,0.0000,True,True
5.7636,-0.0016,0.8000,-0.0132,0.00343,1.0000,0.0000,0.0000,True,True
5.7720,-0.0020,0.8000,-0.0171,0.00395,1.0000,0.0000,0.0000,True,True
5.7802,-0.0025,0.8000,-0.0215,0.00447,1.0000,0.0000,0.0000,True,True
5.7886,-0.0031,0.8000,-0.0265,0.00499,1.0000,0.0000,0.0000,True,True
5.7970,-0.0038,0.8000,-0.0319,0.00551,1.0000,0.0000,0.0000,True,True
5.8053,-0.0045,0.8000,-0.0379,0.00603,1.0000,0.0000,0.0000,True,True
5.8136,-0.0053,0.8000,-0.0444,0.00655,1.0000,0.0000,0.0000,True,True
5.8219,-0.0061,0.8000,-0.0515,0.00708,1.0000,0.0000,0.0000,True,True
5.8303,-0.0070,0.8000,-0.0590,0.00760,1.0000,0.0000,0.0000,True,True
5.8386,-0.0079,0.8000,-0.0671,0.00812,1.0000,0.0000,0.0000,True,True
5.8469,-0.0090,0.8000,-0.0756,0.00864,1.0000,0.0000,0.0000,True,True
5.8553,-0.0100,0.8000,-0.0847,0.00916,1.0000,0.0000,0.0000,True,True
5.8636,-0.0112,0.8000,-0.0944,0.00968,1.0000,0.0000,0.0000,True,True
5.8720,-0.0124,0.8000,-0.1045,0.01020,1.0000,0.0000,0.0000,True,True
5.8802,-0.0136,0.8000,-0.1151,0.01072,1.0000,0.0000,0.0000,True,True
5.8886,-0.0150,0.8000,-0.1263,0.01124,1.0000,0.0000,0.0000,True,True
5.8969,-0.0164,0.8000,-0.1380,0.01176,1.0000,0.0000,0.0000,True,True
5.9053,-0.0178,0.8000,-0.1502,0.01229,1.0000,0.0000,0.0000,True,True
5.9136,-0.0193,0.8000,-0.1629,0.01280,1.0000,0.0000,0.0000,True,True
5.9219,-0.0209,0.8000,-0.1761,0.01333,1.0000,0.0000,0.0000,True,True
5.9302,-0.0225,0.8000,-0.1899,0.01384,1.0000,0.0000,0.0000,True,True
5.9387,-0.0242,0.8000,-0.2043,0.01450,1.0000,0.0000,0.0000,True,True
5.9471,-0.0260,0.8000,-0.2191,0.01490,1.0000,0.0000,0.0000,True,True
5.9556,-0.0278,0.8000,-0.2344,0.01540,1.0000,0.0000,0.0000,True,True
5.9637,-0.0297,0.8000,-0.2502,0.01596,1.0000,0.0000,0.0000,True,True
5.9721,-0.0316,0.8000,-0.2665,0.01643,1.0000,0.0000,0.0000,True,True
5.9803,-0.0336,0.8000,-0.2834,0.01698,1.0000,0.0000,0.0000,True,True
5.9886,-0.0356,0.8000,-0.3008,0.01749,1.0000,0.0000,0.0000,True,True
5.9971,-0.0378,0.8000,-0.3186,0.01802,1.0000,0.0000,0.0000,True,True
6.0053,-0.0399,0.8000,-0.3371,0.01853,1.0000,0.0000,0.0000,True,True
6.0137,-0.0422,0.8000,-0.3560,0.01906,1.0000,0.0000,0.0000,True,True
6.0220,-0.0445,0.8000,-0.3754,0.01959,1.0000,0.0000,0.0000,True,True
6.0304,-0.0469,0.8000,-0.3954,0.02010,1.0000,0.0000,0.0000,True,True
6.0388,-0.0493,0.8000,-0.4159,0.02062,1.0000,0.0000,0.0000,True,True
6.0470,-0.0518,0.8000,-0.4369,0.02114,1.0000,0.0000,0.0000,True,True
6.0554,-0.0543,0.8000,-0.4584,0.02167,1.0000,0.0000,0.0000,True,True
6.0637,-0.0569,0.8000,-0.4804,0.02218,1.0000,0.0000,0.0000,True,True
6.0721,-0.0596,0.8000,-0.5029,0.02270,1.0000,0.0000,0.0000,True,True
6.0804,-0.0623,0.8000,-0.5260,0.02323,1.0000,0.0000,0.0000,True,True
6.0888,-0.0651,0.8000,-0.5496,0.02374,1.0000,0.0000,0.0000,True,True
6.0971,-0.0680,0.8000,-0.5737,0.02427,1.0000,0.0000,0.0000,True,True
6.1054,-0.0709,0.8000,-0.5983,0.02479,1.0000,0.0000,0.0000,True,True
6.1137,-0.0739,0.8000,-0.6234,0.02530,1.0000,0.0000,0.0000,True,True
6.1221,-0.0769,0.8000,-0.6491,0.02584,1.0000,0.0000,0.0000,True,True
6.1304,-0.0800,0.8000,-0.6753,0.02635,1.0000,0.0000,0.0000,True,True
6.1387,-0.0832,0.8000,-0.7020,0.02687,1.0000,0.0000,0.0000,True,True
6.1471,-0.0864,0.8000,-0.7292,0.02744,1.0000,0.0000,0.0000,True,True
6.1554,-0.0897,0.8000,-0.7569,0.02786,1.0000,0.0000,0.0000,True,True
6.1637,-0.0931,0.8000,-0.7851,0.02845,1.0000,0.0000,0.0000,True,True
6.1721,-0.0965,0.8000,-0.8139,0.02895,1.0000,0.0000,0.0000,True,True
6.1804,-0.0999,0.8000,-0.8432,0.02949,1.0000,0.0000,0.0000,True,True
6.1887,-0.1035,0.8000,-0.8729,0.02999,1.0000,0.0000,0.0000,True,True
6.1972,-0.1071,0.8000,-0.9032,0.03053,1.0000,0.0000,0.0000,True,True
6.2054,-0.1107,0.8000,-0.9341,0.03106,1.0000,0.0000,0.0000,True,True
6.2138,-0.1144,0.8000,-0.9654,0.03154,1.0000,0.0000,0.0000,True,True
6.2221,-0.1182,0.8000,-0.9973,0.03209,1.0000,0.0000,0.0000,True,True
6.2303,-0.1220,0.8000,-1.0296,0.03258,1.0000,0.0000,0.0000,True,True
6.2388,-0.1259,0.8000,-1.0625,0.03314,1.0000,0.0000,0.0000,True,True
6.2470,-0.1299,0.8000,-1.0959,0.03364,1.0000,0.0000,0.0000,True,True
6.2554,-0.1339,0.8000,-1.1299,0.03417,1.0000,0.0000,0.0000,True,True
6.2637,-0.1380,0.8000,-1.1643,0.03469,1.0000,0.0000,0.0000,True,True
6.2720,-0.1421,0.8000,-1.1993,0.03520,1.0000,0.0000,0.0000,True,True
6.2803,-0.1463,0.8000,-1.2348,0.03573,1.0000,0.0000,0.0000,True,True
6.2887,-0.1506,0.8000,-1.2708,0.03624,1.0000,0.0000,0.0000,True,True
6.2970,-0.1549,0.8000,-1.3073,0.03677,1.0000,0.0000,0.0000,True,True
6.3055,-0.1593,0.8000,-1.3443,0.03729,1.0000,0.0000,0.0000,True,True
6.3137,-0.1638,0.8000,-1.3818,0.03781,1.0000,0.0000,0.0000,True,True
6.3221,-0.1683,0.8000,-1.4199,0.03834,1.0000,0.0000,0.0000,True,True
6.3304,-0.1729,0.8000,-1.4585,0.03884,1.0000,0.0000,0.0000,True,True
6.3388,-0.1775,0.8000,-1.4976,0.03939,1.0000,0.0000,0.0000,True,True
6.3470,-0.1822,0.8000,-1.5372,0.03989,1.0000,0.0000,0.0000,True,True
6.3554,-0.1869,0.8000,-1.5773,0.04041,1.0000,0.0000,0.0000,True,True
6.3638,-0.1918,0.8000,-1.6180,0.04095,1.0000,0.0000,0.0000,True,True
6.3720,-0.1966,0.8000,-1.6592,0.04144,1.0000,0.0000,0.0000,True,True
6.3804,-0.2016,0.8000,-1.7009,0.04199,1.0000,0.0000,0.0000,True,True
6.3888,-0.2067,0.8000,-1.7438,0.04324,1.0000,0.0000,0.0000,True,True
6.3972,-0.2117,0.8000,-1.7865,0.04302,1.0000,0.0000,0.0000,True,True
6.4055,-0.2169,0.8000,-1.8298,0.04356,1.0000,0.0000,0.0000,True,True
