time,x,y,z,step,clearWeight,rainWeight,snowWeight,support,bodyClear
5.7441,-0.0002,0.8000,-0.0016,0.00162,1.0000,0.0000,0.0000,True,True
5.7512,-0.0004,0.8000,-0.0030,0.00144,1.0000,0.0000,0.0000,True,True
5.7595,-0.0006,0.8000,-0.0050,0.00196,1.0000,0.0000,0.0000,True,True
5.7704,-0.0010,0.8000,-0.0084,0.00342,1.0000,0.0000,0.0000,True,True
5.7762,-0.0012,0.8000,-0.0105,0.00211,1.0000,0.0000,0.0000,True,True
5.7845,-0.0017,0.8000,-0.0140,0.00352,1.0000,0.0000,0.0000,True,True
5.7929,-0.0021,0.8000,-0.0180,0.00405,1.0000,0.0000,0.0000,True,True
5.8013,-0.0027,0.8000,-0.0225,0.00457,1.0000,0.0000,0.0000,True,True
5.8096,-0.0033,0.8000,-0.0276,0.00509,1.0000,0.0000,0.0000,True,True
5.8179,-0.0039,0.8000,-0.0332,0.00561,1.0000,0.0000,0.0000,True,True
5.8262,-0.0047,0.8000,-0.0392,0.00613,1.0000,0.0000,0.0000,True,True
5.8346,-0.0054,0.8000,-0.0459,0.00665,1.0000,0.0000,0.0000,True,True
5.8429,-0.0063,0.8000,-0.0530,0.00717,1.0000,0.0000,0.0000,True,True
5.8512,-0.0072,0.8000,-0.0606,0.00769,1.0000,0.0000,0.0000,True,True
5.8596,-0.0081,0.8000,-0.0688,0.00821,1.0000,0.0000,0.0000,True,True
5.8679,-0.0092,0.8000,-0.0774,0.00873,1.0000,0.0000,0.0000,True,True
5.8762,-0.0103,0.8000,-0.0866,0.00925,1.0000,0.0000,0.0000,True,True
5.8846,-0.0114,0.8000,-0.0963,0.00978,1.0000,0.0000,0.0000,True,True
5.8929,-0.0126,0.8000,-0.1066,0.01029,1.0000,0.0000,0.0000,True,True
5.9012,-0.0139,0.8000,-0.1173,0.01082,1.0000,0.0000,0.0000,True,True
5.9096,-0.0152,0.8000,-0.1286,0.01134,1.0000,0.0000,0.0000,True,True
5.9179,-0.0166,0.8000,-0.1403,0.01186,1.0000,0.0000,0.0000,True,True
5.9262,-0.0181,0.8000,-0.1526,0.01238,1.0000,0.0000,0.0000,True,True
5.9346,-0.0196,0.8000,-0.1654,0.01291,1.0000,0.0000,0.0000,True,True
5.9431,-0.0212,0.8000,-0.1788,0.01342,1.0000,0.0000,0.0000,True,True
5.9513,-0.0228,0.8000,-0.1926,0.01394,1.0000,0.0000,0.0000,True,True
5.9596,-0.0245,0.8000,-0.2070,0.01446,1.0000,0.0000,0.0000,True,True
5.9680,-0.0263,0.8000,-0.2219,0.01498,1.0000,0.0000,0.0000,True,True
5.9763,-0.0281,0.8000,-0.2373,0.01550,1.0000,0.0000,0.0000,True,True
5.9848,-0.0300,0.8000,-0.2532,0.01603,1.0000,0.0000,0.0000,True,True
5.9929,-0.0320,0.8000,-0.2696,0.01654,1.0000,0.0000,0.0000,True,True
6.0013,-0.0340,0.8000,-0.2866,0.01708,1.0000,0.0000,0.0000,True,True
6.0096,-0.0360,0.8000,-0.3040,0.01758,1.0000,0.0000,0.0000,True,True
6.0181,-0.0382,0.8000,-0.3220,0.01811,1.0000,0.0000,0.0000,True,True
6.0263,-0.0404,0.8000,-0.3405,0.01863,1.0000,0.0000,0.0000,True,True
6.0346,-0.0426,0.8000,-0.3595,0.01915,1.0000,0.0000,0.0000,True,True
6.0430,-0.0449,0.8000,-0.3790,0.01967,1.0000,0.0000,0.0000,True,True
6.0514,-0.0473,0.8000,-0.3991,0.02021,1.0000,0.0000,0.0000,True,True
6.0596,-0.0497,0.8000,-0.4197,0.02069,1.0000,0.0000,0.0000,True,True
6.0679,-0.0522,0.8000,-0.4408,0.02124,1.0000,0.0000,0.0000,True,True
6.0763,-0.0548,0.8000,-0.4624,0.02176,1.0000,0.0000,0.0000,True,True
6.0846,-0.0574,0.8000,-0.4845,0.02228,1.0000,0.0000,0.0000,True,True
6.0929,-0.0601,0.8000,-0.5071,0.02280,1.0000,0.0000,0.0000,True,True
6.1013,-0.0628,0.8000,-0.5303,0.02332,1.0000,0.0000,0.0000,True,True
6.1096,-0.0657,0.8000,-0.5539,0.02383,1.0000,0.0000,0.0000,True,True
6.1179,-0.0685,0.8000,-0.5781,0.02436,1.0000,0.0000,0.0000,True,True
6.1263,-0.0714,0.8000,-0.6028,0.02488,1.0000,0.0000,0.0000,True,True
6.1347,-0.0744,0.8000,-0.6281,0.02544,1.0000,0.0000,0.0000,True,True
6.1429,-0.0775,0.8000,-0.6538,0.02589,1.0000,0.0000,0.0000,True,True
6.1513,-0.0806,0.8000,-0.6802,0.02652,1.0000,0.0000,0.0000,True,True
6.1596,-0.0838,0.8000,-0.7069,0.02689,1.0000,0.0000,0.0000,True,True
6.1679,-0.0870,0.8000,-0.7341,0.02748,1.0000,0.0000,0.0000,True,True
6.1762,-0.0903,0.8000,-0.7620,0.02801,1.0000,0.0000,0.0000,True,True
6.1846,-0.0937,0.8000,-0.7903,0.02852,1.0000,0.0000,0.0000,True,True
6.1930,-0.0971,0.8000,-0.8191,0.02905,1.0000,0.0000,0.0000,True,True
6.2012,-0.1006,0.8000,-0.8485,0.02957,1.0000,0.0000,0.0000,True,True
6.2096,-0.1041,0.8000,-0.8784,0.03009,1.0000,0.0000,0.0000,True,True
6.2179,-0.1077,0.8000,-0.9088,0.03061,1.0000,0.0000,0.0000,True,True
6.2262,-0.1114,0.8000,-0.9397,0.03112,1.0000,0.0000,0.0000,True,True
6.2345,-0.1151,0.8000,-0.9711,0.03166,1.0000,0.0000,0.0000,True,True
6.2429,-0.1189,0.8000,-1.0031,0.03217,1.0000,0.0000,0.0000,True,True
6.2512,-0.1227,0.8000,-1.0356,0.03270,1.0000,0.0000,0.0000,True,True
6.2595,-0.1266,0.8000,-1.0685,0.03320,1.0000,0.0000,0.0000,True,True
6.2679,-0.1306,0.8000,-1.1020,0.03374,1.0000,0.0000,0.0000,True,True
6.2762,-0.1346,0.8000,-1.1360,0.03426,1.0000,0.0000,0.0000,True,True
6.2846,-0.1387,0.8000,-1.1706,0.03477,1.0000,0.0000,0.0000,True,True
