time,x,y,z,step,clear,rain,snow,supported,bodyClear
8.5777,0.0000,0.8000,-0.0021,0.00211,1.0000,0.0000,0.0000,True,True
8.6028,0.0000,0.8000,-0.0103,0.00816,1.0000,0.0000,0.0000,True,True
8.6206,0.0000,0.8000,-0.0183,0.00807,1.0000,0.0000,0.0000,True,True
8.6321,0.0000,0.8000,-0.0245,0.00611,1.0000,0.0000,0.0000,True,True
8.6534,0.0000,0.8000,-0.0394,0.01494,1.0000,0.0000,0.0000,True,True
8.6700,0.0000,0.8000,-0.0530,0.01363,1.0000,0.0000,0.0000,True,True
8.6801,0.0000,0.8000,-0.0622,0.00913,1.0000,0.0000,0.0000,True,True
8.6950,0.0000,0.8000,-0.0769,0.01475,1.0000,0.0000,0.0000,True,True
8.7154,0.0000,0.8000,-0.1007,0.02383,1.0000,0.0000,0.0000,True,True
8.7259,0.0000,0.8000,-0.1138,0.01310,1.0000,0.0000,0.0000,True,True
8.7425,0.0000,0.8000,-0.1364,0.02251,1.0000,0.0000,0.0000,True,True
8.7520,0.0000,0.8000,-0.1502,0.01389,1.0000,0.0000,0.0000,True,True
8.7758,0.0000,0.8000,-0.1883,0.03809,1.0000,0.0000,0.0000,True,True
8.7866,0.0000,0.8000,-0.2070,0.01872,1.0000,0.0000,0.0000,True,True
8.8036,0.0000,0.8000,-0.2378,0.03080,1.0000,0.0000,0.0000,True,True
8.8201,0.0000,0.8000,-0.2700,0.03213,1.0000,0.0000,0.0000,True,True
8.8305,0.0000,0.8000,-0.2914,0.02145,1.0000,0.0000,0.0000,True,True
8.8505,0.0000,0.8000,-0.3346,0.04314,1.0000,0.0000,0.0000,True,True
8.8605,0.0000,0.8000,-0.3574,0.02284,1.0000,0.0000,0.0000,True,True
8.8809,0.0000,0.8000,-0.4058,0.04844,1.0000,0.0000,0.0000,True,True
8.8912,0.0000,0.8000,-0.4319,0.02609,1.0000,0.0000,0.0000,True,True
8.9077,0.0000,0.8000,-0.4746,0.04267,1.0000,0.0000,0.0000,True,True
8.9242,0.0000,0.8000,-0.5201,0.04546,1.0000,0.0000,0.0000,True,True
8.9335,0.0000,0.8000,-0.5461,0.02604,1.0000,0.0000,0.0000,True,True
8.9531,0.0000,0.8000,-0.6031,0.05700,1.0000,0.0000,0.0000,True,True
8.9634,0.0000,0.8000,-0.6351,0.03196,1.0000,0.0000,0.0000,True,True
8.9834,0.0000,0.8000,-0.6980,0.06290,1.0000,0.0000,0.0000,True,True
8.9934,0.0000,0.8000,-0.7309,0.03293,1.0000,0.0000,0.0000,True,True
9.0105,0.0000,0.8000,-0.7879,0.05702,1.0000,0.0000,0.0000,True,True
9.0272,0.0000,0.8000,-0.8463,0.05840,1.0000,0.0000,0.0000,True,True
9.0380,0.0000,0.8000,-0.8854,0.03911,1.0000,0.0000,0.0000,True,True
9.0530,0.0000,0.8000,-0.9403,0.05487,1.0000,0.0000,0.0000,True,True
9.0684,0.0000,0.8000,-0.9998,0.05952,1.0000,0.0000,0.0000,True,True
9.0782,0.0000,0.8000,-1.0377,0.03793,1.0000,0.0000,0.0000,True,True
9.1015,0.0000,0.8000,-1.1312,0.09346,1.0000,0.0000,0.0000,True,True
9.1123,0.0000,0.8000,-1.1766,0.04536,1.0000,0.0000,0.0000,True,True
9.1281,0.0000,0.8000,-1.2441,0.06757,1.0000,0.0000,0.0000,True,True
9.1378,0.0000,0.8000,-1.2866,0.04248,1.0000,0.0000,0.0000,True,True
9.1569,0.0000,0.8000,-1.3713,0.08473,1.0000,0.0000,0.0000,True,True
9.1687,0.0000,0.8000,-1.4259,0.05454,1.0000,0.0000,0.0000,True,True
9.1780,0.0000,0.8000,-1.4692,0.04331,1.0000,0.0000,0.0000,True,True
9.2011,0.0000,0.8000,-1.5798,0.11065,1.0000,0.0000,0.0000,True,True
9.2131,0.0000,0.8000,-1.6388,0.05896,1.0000,0.0000,0.0000,True,True
9.2276,0.0000,0.8000,-1.7103,0.07151,1.0000,0.0000,0.0000,True,True
9.2428,0.0000,0.8000,-1.7886,0.07830,1.0000,0.0000,0.0000,True,True
