time,x,y,z,step,clear,rain,snow,supported,bodyClear,continuous
7.6011,0.0000,1.0848,-38.0024,0.00244,1.00000,0.00000,0.00000,True,True,True
7.6173,0.0000,1.0842,-38.0062,0.00386,1.00000,0.00000,0.00000,True,True,True
7.6304,0.0000,1.0836,-38.0099,0.00376,1.00000,0.00000,0.00000,True,True,True
7.6420,0.0000,1.0830,-38.0139,0.00398,1.00000,0.00000,0.00000,True,True,True
7.6533,0.0000,1.0823,-38.0186,0.00474,1.00000,0.00000,0.00000,True,True,True
7.6669,0.0000,1.0813,-38.0250,0.00647,1.00000,0.00000,0.00000,True,True,True
7.6773,0.0000,1.0804,-38.0307,0.00581,1.00000,0.00000,0.00000,True,True,True
7.6890,0.0000,1.0793,-38.0377,0.00710,1.00000,0.00000,0.00000,True,True,True
7.7002,0.0000,1.0782,-38.0451,0.00748,1.00000,0.00000,0.00000,True,True,True
7.7133,0.0000,1.0767,-38.0548,0.00982,1.00000,0.00000,0.00000,True,True,True
7.7243,0.0000,1.0753,-38.0634,0.00866,1.00000,0.00000,0.00000,True,True,True
7.7364,0.0000,1.0737,-38.0737,0.01041,1.00000,0.00000,0.00000,True,True,True
7.7481,0.0000,1.0720,-38.0845,0.01102,1.00000,0.00000,0.00000,True,True,True
7.7596,0.0000,1.0703,-38.0961,0.01165,1.00000,0.00000,0.00000,True,True,True
7.7714,0.0000,1.0684,-38.1083,0.01239,1.00000,0.00000,0.00000,True,True,True
7.7831,0.0000,1.0663,-38.1214,0.01325,1.00000,0.00000,0.00000,True,True,True
7.7959,0.0000,1.0640,-38.1366,0.01535,1.00000,0.00000,0.00000,True,True,True
7.8062,0.0000,1.0620,-38.1493,0.01290,1.00000,0.00000,0.00000,True,True,True
7.8192,0.0000,1.0594,-38.1662,0.01707,1.00000,0.00000,0.00000,True,True,True
7.8307,0.0000,1.0569,-38.1821,0.01610,1.00000,0.00000,0.00000,True,True,True
7.8423,0.0000,1.0544,-38.1983,0.01643,1.00000,0.00000,0.00000,True,True,True
7.8548,0.0000,1.0514,-38.2172,0.01909,1.00000,0.00000,0.00000,True,True,True
7.8671,0.0000,1.0485,-38.2361,0.01914,1.00000,0.00000,0.00000,True,True,True
7.8800,0.0000,1.0451,-38.2578,0.02199,1.00000,0.00000,0.00000,True,True,True
7.8912,0.0000,1.0421,-38.2771,0.01948,1.00000,0.00000,0.00000,True,True,True
7.9065,0.0000,1.0380,-38.3035,0.02678,1.00000,0.00000,0.00000,True,True,True
7.9189,0.0000,1.0344,-38.3268,0.02357,1.00000,0.00000,0.00000,True,True,True
7.9322,0.0000,1.0305,-38.3520,0.02553,1.00000,0.00000,0.00000,True,True,True
7.9460,0.0000,1.0261,-38.3804,0.02869,1.00000,0.00000,0.00000,True,True,True
7.9568,0.0000,1.0226,-38.4026,0.02244,1.00000,0.00000,0.00000,True,True,True
7.9682,0.0000,1.0189,-38.4263,0.02406,1.00000,0.00000,0.00000,True,True,True
7.9794,0.0000,1.0150,-38.4513,0.02527,1.00000,0.00000,0.00000,True,True,True
7.9909,0.0000,1.0111,-38.4769,0.02591,1.00000,0.00000,0.00000,True,True,True
8.0054,0.0000,1.0064,-38.5080,0.03142,1.00000,0.00000,0.00000,True,True,True
8.0167,0.0000,1.0028,-38.5340,0.02627,1.00000,0.00000,0.00000,True,True,True
8.0292,0.0000,0.9989,-38.5621,0.02840,1.00000,0.00000,0.00000,True,True,True
8.0394,0.0000,0.9958,-38.5849,0.02296,1.00000,0.00000,0.00000,True,True,True
8.0542,0.0000,0.9913,-38.6178,0.03327,1.00000,0.00000,0.00000,True,True,True
8.0639,0.0000,0.9883,-38.6395,0.02187,1.00000,0.00000,0.00000,True,True,True
8.0755,0.0000,0.9848,-38.6650,0.02572,1.00000,0.00000,0.00000,True,True,True
8.0877,0.0000,0.9811,-38.6923,0.02751,1.00000,0.00000,0.00000,True,True,True
8.0992,0.0000,0.9775,-38.7180,0.02600,1.00000,0.00000,0.00000,True,True,True
8.1124,0.0000,0.9735,-38.7475,0.02981,1.00000,0.00000,0.00000,True,True,True
8.1234,0.0000,0.9702,-38.7716,0.02429,1.00000,0.00000,0.00000,True,True,True
8.1350,0.0000,0.9666,-38.7976,0.02621,1.00000,0.00000,0.00000,True,True,True
8.1467,0.0000,0.9630,-38.8239,0.02656,1.00000,0.00000,0.00000,True,True,True
8.1617,0.0000,0.9584,-38.8574,0.03379,1.00000,0.00000,0.00000,True,True,True
8.1724,0.0000,0.9551,-38.8811,0.02401,1.00000,0.00000,0.00000,True,True,True
8.1846,0.0000,0.9514,-38.9081,0.02725,1.00000,0.00000,0.00000,True,True,True
8.1967,0.0000,0.9477,-38.9355,0.02757,1.00000,0.00000,0.00000,True,True,True
8.2119,0.0000,0.9431,-38.9692,0.03403,1.00000,0.00000,0.00000,True,True,True
8.2215,0.0000,0.9401,-38.9906,0.02164,1.00000,0.00000,0.00000,True,True,True
8.2339,0.0000,0.9368,-39.0175,0.02706,1.00000,0.00000,0.00000,True,True,True
8.2456,0.0000,0.9338,-39.0441,0.02682,1.00000,0.00000,0.00000,True,True,True
8.2579,0.0000,0.9306,-39.0720,0.02812,1.00000,0.00000,0.00000,True,True,True
8.2726,0.0000,0.9269,-39.1043,0.03249,1.00000,0.00000,0.00000,True,True,True
8.2835,0.0000,0.9240,-39.1293,0.02513,1.00000,0.00000,0.00000,True,True,True
8.2956,0.0000,0.9210,-39.1557,0.02659,1.00000,0.00000,0.00000,True,True,True
8.3071,0.0000,0.9179,-39.1820,0.02647,1.00000,0.00000,0.00000,True,True,True
8.3227,0.0000,0.9140,-39.2166,0.03478,1.00000,0.00000,0.00000,True,True,True
8.3318,0.0000,0.9116,-39.2373,0.02090,1.00000,0.00000,0.00000,True,True,True
8.3439,0.0000,0.9085,-39.2640,0.02687,1.00000,0.00000,0.00000,True,True,True
8.3558,0.0000,0.9055,-39.2907,0.02684,1.00000,0.00000,0.00000,True,True,True
8.3676,0.0000,0.9024,-39.3172,0.02672,1.00000,0.00000,0.00000,True,True,True
8.3830,0.0000,0.8987,-39.3498,0.03275,1.00000,0.00000,0.00000,True,True,True
8.3945,0.0000,0.8956,-39.3771,0.02753,1.00000,0.00000,0.00000,True,True,True
8.4059,0.0000,0.8926,-39.4030,0.02601,1.00000,0.00000,0.00000,True,True,True
8.4177,0.0000,0.8896,-39.4294,0.02660,1.00000,0.00000,0.00000,True,True,True
8.4324,0.0000,0.8860,-39.4607,0.03150,1.00000,0.00000,0.00000,True,True,True
8.4438,0.0000,0.8829,-39.4877,0.02723,1.00000,0.00000,0.00000,True,True,True
8.4556,0.0000,0.8802,-39.5142,0.02664,1.00000,0.00000,0.00000,True,True,True
8.4674,0.0000,0.8779,-39.5406,0.02646,1.00000,0.00000,0.00000,True,True,True
8.4811,0.0000,0.8753,-39.5711,0.03057,1.00000,0.00000,0.00000,True,True,True
8.4929,0.0000,0.8730,-39.5974,0.02646,1.00000,0.00000,0.00000,True,True,True
