x,z,viewportX,viewportY,firstCollider,hitY,normalY,navTarget,pathComplete,allHits
-6,2,0.644,0.288,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.107"
-5,2,0.617,0.301,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.110"
-4,2,0.590,0.314,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.103"
-3,2,0.563,0.328,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.099"
-2,2,0.536,0.341,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100 | Click blocker Masonry batch 10:29@-16.093"
-1,2,0.510,0.354,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.097 | Click blocker Masonry batch 10:29@-16.009"
0,2,0.483,0.367,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.099 | Click blocker Masonry batch 10:29@-16.129"
1,2,0.456,0.380,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.101 | Click blocker Masonry batch 10:29@-16.179"
2,2,0.429,0.394,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.107"
3,2,0.402,0.407,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.115"
4,2,0.375,0.420,Click blocker Masonry batch 0,-0.115,1.000,False,False,"Click blocker Masonry batch 0:29@-0.115"
5,2,0.348,0.433,Click blocker Masonry batch 0,-0.115,1.000,False,False,"Click blocker Masonry batch 0:29@-0.115 | Click blocker Sculpted_bark_roots_and_fine_branches:29@-0.602"
6,2,0.321,0.446,Click blocker Sculpted_bark_roots_and_fine_branches,0.278,0.561,False,False,"Click blocker Sculpted_bark_roots_and_fine_branches:29@0.278 | Click blocker Masonry batch 0:29@-0.148 | Click blocker Masonry batch 2:29@-13.388"
-6,3,0.631,0.262,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.113"
-5,3,0.604,0.275,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.108"
-4,3,0.577,0.288,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100"
-3,3,0.550,0.301,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100 | Click blocker Masonry batch 10:29@-17.688"
-2,3,0.523,0.314,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100 | Click blocker Masonry batch 10:29@-17.070"
-1,3,0.496,0.327,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102 | Click blocker Masonry batch 10:29@-17.165"
0,3,0.469,0.341,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102 | Click blocker Masonry batch 10:29@-16.989"
1,3,0.442,0.354,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.104 | Click blocker Masonry batch 9:29@-17.252"
2,3,0.416,0.367,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.104"
3,3,0.389,0.380,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.109"
4,3,0.362,0.393,Courtyard collision paving,0.000,1.000,False,False,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.110"
5,3,0.335,0.407,Click blocker Masonry batch 0,-0.117,1.000,False,False,"Click blocker Masonry batch 0:29@-0.117"
6,3,0.308,0.420,Click blocker Sculpted_bark_roots_and_fine_branches,0.001,0.494,False,False,"Click blocker Sculpted_bark_roots_and_fine_branches:29@0.001 | Click blocker Masonry batch 0:29@-0.140 | Click blocker Masonry batch 2:29@-14.011"
-6,4,0.617,0.235,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.113"
-5,4,0.591,0.248,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.106"
-4,4,0.564,0.261,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100"
-3,4,0.537,0.274,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100 | Click blocker Masonry batch 10:29@-18.053"
-2,4,0.510,0.288,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100 | Click blocker Masonry batch 10:29@-17.981"
-1,4,0.483,0.301,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.101 | Click blocker Masonry batch 10:29@-18.096"
0,4,0.456,0.314,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.105"
1,4,0.429,0.327,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.103"
2,4,0.402,0.340,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100"
3,4,0.375,0.354,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.104"
4,4,0.348,0.367,Courtyard collision paving,0.000,1.000,False,False,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.104"
5,4,0.322,0.380,Click blocker Masonry batch 0,-0.110,1.000,False,False,"Click blocker Masonry batch 0:29@-0.110 | Click blocker Masonry batch 2:29@-15.373"
6,4,0.295,0.393,Click blocker Sculpted_bark_roots_and_fine_branches,0.778,0.198,False,False,"Click blocker Sculpted_bark_roots_and_fine_branches:29@0.778 | Click blocker Masonry batch 0:29@-0.132 | Click blocker Masonry batch 2:29@-15.002"
-6,5,0.604,0.208,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.114"
-5,5,0.577,0.221,Click blocker Masonry batch 0,-0.104,1.000,True,True,"Click blocker Masonry batch 0:29@-0.104"
-4,5,0.550,0.235,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100 | Click blocker Masonry batch 10:29@-19.664"
-3,5,0.523,0.248,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.101 | Click blocker Masonry batch 10:29@-19.043"
-2,5,0.496,0.261,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.101 | Click blocker Masonry batch 10:29@-19.128"
-1,5,0.470,0.274,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.101 | Click blocker Masonry batch 10:29@-18.943"
0,5,0.443,0.287,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.099"
1,5,0.416,0.301,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100"
2,5,0.389,0.314,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.098"
3,5,0.362,0.327,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.098"
4,5,0.335,0.340,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.100"
5,5,0.308,0.353,Click blocker TreeV16 root entry covers,0.034,0.988,False,False,"Click blocker TreeV16 root entry covers:29@0.034 | Click blocker Masonry batch 0:29@-0.109 | Click blocker Sculpted_bark_roots_and_fine_branches:29@-0.136 | Click blocker Masonry batch 2:29@-15.965"
6,5,0.281,0.366,Click blocker Sculpted_bark_roots_and_fine_branches,0.029,0.616,False,False,"Click blocker Sculpted_bark_roots_and_fine_branches:29@0.029 | Click blocker Masonry batch 0:29@-0.123 | Click blocker Masonry batch 2:29@-16.124"
-6,6,0.591,0.182,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.112"
-5,6,0.564,0.195,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102"
-4,6,0.537,0.208,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.101 | Click blocker Masonry batch 10:29@-20.015"
-3,6,0.510,0.221,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.101 | Click blocker Masonry batch 10:29@-19.949"
-2,6,0.483,0.234,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102 | Click blocker Masonry batch 10:29@-20.062"
-1,6,0.456,0.248,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102"
0,6,0.429,0.261,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.099"
1,6,0.402,0.274,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.096"
2,6,0.376,0.287,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.194"
3,6,0.349,0.300,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.093"
4,6,0.322,0.314,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.098 | Click blocker Masonry batch 2:29@-17.339"
5,6,0.295,0.327,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.108 | Click blocker Masonry batch 2:29@-16.988"
6,6,0.268,0.340,Click blocker Masonry batch 9,0.054,0.057,False,False,"Click blocker Masonry batch 9:29@0.054 | Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.119 | Click blocker Sculpted_bark_roots_and_fine_branches:29@-0.880 | Click blocker Masonry batch 2:29@-16.972"
-6,7,0.577,0.155,Click blocker Masonry batch 0,-0.106,1.000,True,True,"Click blocker Masonry batch 0:29@-0.106"
-5,7,0.551,0.168,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.101"
-4,7,0.524,0.181,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.101 | Click blocker Masonry batch 10:29@-21.008"
-3,7,0.497,0.195,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102 | Click blocker Masonry batch 10:29@-21.092"
-2,7,0.470,0.208,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102 | Click blocker Masonry batch 10:29@-20.898"
-1,7,0.443,0.221,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102"
0,7,0.416,0.234,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.098"
1,7,0.389,0.247,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.096"
2,7,0.362,0.261,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.093"
3,7,0.335,0.274,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.091"
4,7,0.308,0.287,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.098 | Click blocker Masonry batch 2:29@-17.919"
5,7,0.282,0.300,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.110 | Click blocker Masonry batch 2:29@-18.308"
6,7,0.255,0.313,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.122 | Click blocker Masonry batch 2:29@-17.941"
-6,8,0.564,0.128,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.103"
-5,8,0.537,0.142,Gateway lintel,2.545,0.000,True,True,"Gateway lintel:29@2.545 | Gateway pier:29@2.496 | Click blocker Masonry batch 0:29@-0.104 | Click blocker Masonry batch 10:29@-23.029"
-4,8,0.510,0.155,Gateway lintel,2.545,0.000,True,True,"Gateway lintel:29@2.545 | Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102 | Click blocker Masonry batch 10:29@-22.371"
-3,8,0.483,0.168,Gateway lintel,2.545,0.000,True,True,"Gateway lintel:29@2.545 | Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.103 | Click blocker Masonry batch 10:29@-22.027"
-2,8,0.457,0.181,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.103"
-1,8,0.430,0.194,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.102"
0,8,0.403,0.208,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.098"
1,8,0.376,0.221,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.096"
2,8,0.349,0.234,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.093"
3,8,0.322,0.247,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.092 | Click blocker Masonry batch 2:29@-19.316"
4,8,0.295,0.260,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.188 | Click blocker Masonry batch 2:29@-18.968"
5,8,0.268,0.273,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.107 | Click blocker Masonry batch 2:29@-18.929"
6,8,0.241,0.287,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.119 | Click blocker Masonry batch 2:29@-19.274"
-6,9,0.551,0.102,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.106"
-5,9,0.524,0.115,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.107 | Click blocker Masonry batch 10:29@-22.973"
-4,9,0.497,0.128,Courtyard collision paving,0.000,1.000,True,True,"Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.104 | Click blocker Masonry batch 10:29@-23.055"
-3,9,0.470,0.141,Gateway pier,1.517,0.000,True,True,"Gateway pier:29@1.517 | Courtyard collision paving:28@0.000 | Click blocker Masonry batch 0:29@-0.104 | Click blocker Masonry batch 10:29@-22.860"
