x,z,groundY,normalY,firstCollider,navDistance,complete
-9,-5,5.577,0.999,Click blocker Masonry batch 5,-1.000,False
-8,-5,-0.124,0.999,Click blocker Masonry batch 0,-1.000,False
-7,-5,3.459,1.000,Click blocker Masonry batch 0,-1.000,False
-6,-5,2.242,0.983,Click blocker Masonry batch 0,-1.000,False
-5,-5,2.240,1.000,Click blocker Masonry batch 0,-1.000,False
-4,-5,2.250,0.957,Click blocker Masonry batch 0,-1.000,False
-3,-5,2.278,0.671,Click blocker Masonry batch 0,-1.000,False
-2,-5,2.283,0.671,Click blocker Masonry batch 0,-1.000,False
-1,-5,2.258,0.942,Click blocker Masonry batch 0,-1.000,False
0,-5,2.228,0.948,Click blocker Masonry batch 0,-1.000,False
1,-5,3.459,1.000,Click blocker Masonry batch 0,-1.000,False
2,-5,-0.100,1.000,Click blocker Masonry batch 0,-1.000,False
3,-5,4.712,0.999,Click blocker Masonry batch 4,-1.000,False
4,-5,-0.122,1.000,Click blocker Masonry batch 0,-1.000,False
5,-5,-0.148,0.999,Click blocker Masonry batch 0,-1.000,False
6,-5,-0.191,0.999,Click blocker Masonry batch 0,-1.000,False
7,-5,-0.297,0.950,Click blocker Masonry batch 0,-1.000,False
8,-5,-0.457,0.993,Click blocker Masonry batch 0,-1.000,False
-9,-4,5.986,1.000,Click blocker Masonry batch 5,-1.000,False
-8,-4,0.300,1.000,Click blocker Masonry batch 1,-1.000,False
-7,-4,2.880,1.000,Click blocker Masonry batch 0,-1.000,False
-6,-4,1.676,0.643,Click blocker Masonry batch 0,-1.000,False
-5,-4,1.676,1.000,Click blocker Masonry batch 0,-1.000,False
-4,-4,1.682,0.826,Click blocker Masonry batch 0,-1.000,False
-3,-4,1.687,0.654,Click blocker Masonry batch 0,-1.000,False
-2,-4,1.692,0.953,Click blocker Masonry batch 0,-1.000,False
-1,-4,1.687,0.951,Click blocker Masonry batch 0,-1.000,False
0,-4,1.660,0.805,Click blocker Masonry batch 0,-1.000,False
1,-4,2.880,1.000,Click blocker Masonry batch 0,-1.000,False
2,-4,-0.098,1.000,Click blocker Masonry batch 0,-1.000,False
3,-4,5.556,1.000,Click blocker Masonry batch 4,-1.000,False
4,-4,-0.123,1.000,Click blocker Masonry batch 0,-1.000,False
5,-4,-0.143,0.999,Click blocker Masonry batch 0,-1.000,False
6,-4,-0.188,0.999,Click blocker Masonry batch 0,-1.000,False
7,-4,-0.258,0.950,Click blocker Masonry batch 0,-1.000,False
8,-4,0.299,1.000,Click blocker Masonry batch 0,-1.000,False
9,-4,2.954,1.000,Click blocker Masonry batch 0,-1.000,False
-9,-3,2.981,1.000,Click blocker Masonry batch 5,-1.000,False
-8,-3,6.084,1.000,Click blocker Masonry batch 0,-1.000,False
-7,-3,2.238,0.961,Click blocker Masonry batch 0,-1.000,False
-6,-3,1.096,0.783,Click blocker Masonry batch 0,-1.000,False
-5,-3,1.113,1.000,Click blocker Masonry batch 0,-1.000,False
-4,-3,1.125,0.910,Click blocker Masonry batch 0,-1.000,False
-3,-3,1.104,0.792,Click blocker Masonry batch 0,-1.000,False
-2,-3,1.119,0.978,Click blocker Masonry batch 0,-1.000,False
-1,-3,1.113,0.897,Click blocker Masonry batch 0,-1.000,False
0,-3,1.093,0.945,Click blocker Masonry batch 0,-1.000,False
1,-3,2.207,0.422,Click blocker Masonry batch 0,-1.000,False
2,-3,6.734,1.000,Click blocker Masonry batch 0,-1.000,False
3,-3,2.991,1.000,Click blocker Masonry batch 4,-1.000,False
4,-3,-0.123,1.000,Click blocker Masonry batch 0,-1.000,False
5,-3,-0.139,0.999,Click blocker Masonry batch 0,-1.000,False
6,-3,0.272,0.999,Click blocker Masonry batch 8,-1.000,False
7,-3,-0.231,0.999,Click blocker Masonry batch 0,-1.000,False
8,-3,0.299,1.000,Click blocker Masonry batch 0,-1.000,False
9,-3,3.631,0.999,Click blocker Masonry batch 6,-1.000,False
-9,-2,3.843,0.999,Click blocker Masonry batch 5,-1.000,False
-8,-2,6.253,0.999,Click blocker Masonry batch 4,-1.000,False
-7,-2,1.720,1.000,Click blocker Masonry batch 0,-1.000,False
-6,-2,0.274,0.991,Click blocker Masonry batch 8,-1.000,False
-5,-2,0.490,0.258,Click blocker Masonry batch 0,-1.000,False
-4,-2,0.203,0.035,Click blocker Masonry batch 0,-1.000,False
-3,-2,0.309,0.040,Click blocker Masonry batch 0,-1.000,False
-2,-2,0.522,0.231,Click blocker Masonry batch 0,-1.000,False
-1,-2,0.511,0.224,Click blocker Masonry batch 0,-1.000,False
0,-2,0.466,0.088,Click blocker Masonry batch 0,-1.000,False
1,-2,1.720,1.000,Click blocker Masonry batch 0,-1.000,False
2,-2,7.787,0.964,Click blocker Masonry batch 4,-1.000,False
3,-2,4.709,0.684,Click blocker Masonry batch 4,-1.000,False
4,-2,-0.115,1.000,Click blocker Masonry batch 0,0.515,True
5,-2,0.189,0.998,Click blocker Masonry batch 9,-1.000,False
6,-2,-0.168,0.999,Click blocker Masonry batch 0,0.516,True
7,-2,-0.219,0.998,Click blocker Masonry batch 0,0.517,True
8,-2,-0.430,0.969,Click blocker Masonry batch 0,0.527,True
9,-2,1.351,1.000,Click blocker Masonry batch 0,-1.000,False
-9,-1,1.352,1.000,Click blocker Masonry batch 1,-1.000,False
-8,-1,-0.114,1.000,Click blocker Masonry batch 0,-1.000,False
-7,-1,1.145,1.000,Click blocker Masonry batch 0,-1.000,False
-6,-1,-0.095,1.000,Click blocker Masonry batch 0,0.278,True
-5,-1,-0.097,1.000,Click blocker Masonry batch 0,0.018,True
-4,-1,-0.097,1.000,Click blocker Masonry batch 0,0.018,True
-3,-1,-0.099,1.000,Click blocker Masonry batch 0,0.020,True
-2,-1,-0.097,1.000,Click blocker Masonry batch 0,0.018,True
-1,-1,-0.088,1.000,Click blocker Masonry batch 0,0.009,True
0,-1,-0.093,1.000,Click blocker Masonry batch 0,0.014,True
1,-1,0.259,1.000,Click blocker Masonry batch 9,-1.000,False
2,-1,1.145,1.000,Click blocker Masonry batch 0,-1.000,False
3,-1,-0.114,1.000,Click blocker Masonry batch 0,0.230,True
4,-1,-0.118,1.000,Click blocker Masonry batch 0,0.010,True
5,-1,-0.121,1.000,Click blocker Masonry batch 0,0.026,True
6,-1,-0.142,0.999,Click blocker Masonry batch 0,0.052,True
7,-1,-0.201,0.998,Click blocker Masonry batch 0,0.025,True
8,-1,-0.375,0.969,Click blocker Masonry batch 0,0.104,True
9,-1,1.689,0.999,Click blocker Masonry batch 7,-1.000,False
-9,0,1.266,0.999,Click blocker Masonry batch 6,-1.000,False
-8,0,0.209,0.997,Click blocker Masonry batch 8,-1.000,False
-7,0,-0.108,1.000,Click blocker Masonry batch 0,0.323,True
-6,0,-0.099,1.000,Click blocker Masonry batch 0,0.140,True
-5,0,-0.099,1.000,Click blocker Masonry batch 0,0.020,True
-4,0,-0.102,1.000,Click blocker Masonry batch 0,0.023,True
-3,0,-0.100,1.000,Click blocker Masonry batch 0,0.021,True
-2,0,-0.099,1.000,Click blocker Masonry batch 0,0.020,True
-1,0,-0.091,1.000,Click blocker Masonry batch 0,0.012,True
0,0,-0.094,1.000,Click blocker Masonry batch 0,0.015,True
1,0,-0.099,1.000,Click blocker Masonry batch 0,0.020,True
2,0,-0.104,1.000,Click blocker Masonry batch 0,0.025,True
3,0,-0.116,1.000,Click blocker Masonry batch 0,0.038,True
4,0,-0.122,1.000,Click blocker Masonry batch 0,0.043,True
5,0,-0.125,1.000,Click blocker Masonry batch 0,0.046,True
6,0,-0.128,0.999,Click blocker Masonry batch 0,0.096,True
7,0,-0.184,0.998,Click blocker Masonry batch 0,0.215,True
8,0,-0.336,0.973,Click blocker Masonry batch 0,-1.000,False
9,0,2.135,1.000,Click blocker Masonry batch 7,-1.000,False
-9,1,1.351,1.000,Click blocker Masonry batch 1,-1.000,False
-8,1,-0.122,1.000,Click blocker Masonry batch 0,-1.000,False
-7,1,-0.113,1.000,Click blocker Masonry batch 0,0.057,True
-6,1,-0.104,1.000,Click blocker Masonry batch 0,0.100,True
-5,1,-0.105,1.000,Click blocker Masonry batch 0,0.026,True
-4,1,-0.105,1.000,Click blocker Masonry batch 0,0.026,True
-3,1,-0.099,1.000,Click blocker Masonry batch 0,0.020,True
-2,1,-0.099,1.000,Click blocker Masonry batch 0,0.020,True
-1,1,-0.094,1.000,Click blocker Masonry batch 0,0.015,True
0,1,-0.096,1.000,Click blocker Masonry batch 0,0.017,True
1,1,-0.099,1.000,Click blocker Masonry batch 0,0.012,True
2,1,-0.105,1.000,Click blocker Masonry batch 0,0.009,True
3,1,-0.119,1.000,Click blocker Masonry batch 0,0.015,True
4,1,-0.121,1.000,Click blocker Masonry batch 0,0.428,True
5,1,-0.120,1.000,Click blocker Masonry batch 0,0.034,True
6,1,-0.138,0.999,Click blocker Masonry batch 0,0.149,True
7,1,-0.177,0.998,Click blocker Masonry batch 0,-1.000,False
8,1,0.137,0.822,Click blocker Masonry batch 7,-1.000,False
9,1,2.372,1.000,Click blocker Masonry batch 1,-1.000,False
-9,2,1.351,1.000,Click blocker Masonry batch 1,-1.000,False
-8,2,-0.003,0.147,Click blocker Masonry batch 8,-1.000,False
-7,2,-0.121,1.000,Click blocker Masonry batch 0,0.165,True
-6,2,-0.108,1.000,Click blocker Masonry batch 0,0.001,True
-5,2,-0.110,1.000,Click blocker Masonry batch 0,0.029,True
-4,2,-0.103,1.000,Click blocker Masonry batch 0,0.024,True
-3,2,-0.099,1.000,Click blocker Masonry batch 0,0.020,True
-2,2,-0.100,1.000,Click blocker Masonry batch 0,0.021,True
-1,2,-0.098,1.000,Click blocker Masonry batch 0,0.019,True
0,2,-0.099,1.000,Click blocker Masonry batch 0,0.020,True
1,2,-0.101,1.000,Click blocker Masonry batch 0,0.014,True
2,2,-0.106,1.000,Click blocker Masonry batch 0,0.011,True
3,2,-0.114,1.000,Click blocker Masonry batch 0,0.013,True
4,2,7.956,0.958,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
5,2,-0.114,1.000,Click blocker Masonry batch 0,0.071,True
6,2,0.525,0.805,Click blocker Sculpted_bark_roots_and_fine_branches,-1.000,False
7,2,-0.169,1.000,Click blocker Masonry batch 0,-1.000,False
8,2,0.218,0.988,Click blocker Masonry batch 8,-1.000,False
9,2,2.373,0.999,Click blocker Masonry batch 1,-1.000,False
-9,3,1.353,1.000,Click blocker Masonry batch 1,-1.000,False
-8,3,0.264,0.987,Click blocker Masonry batch 8,-1.000,False
-7,3,-0.128,1.000,Click blocker Masonry batch 0,0.183,True
-6,3,-0.114,1.000,Click blocker Masonry batch 0,0.280,True
-5,3,-0.108,1.000,Click blocker Masonry batch 0,0.006,True
-4,3,-0.101,1.000,Click blocker Masonry batch 0,0.008,True
-3,3,-0.100,1.000,Click blocker Masonry batch 0,0.018,True
-2,3,-0.100,1.000,Click blocker Masonry batch 0,0.021,True
-1,3,-0.103,1.000,Click blocker Masonry batch 0,0.024,True
0,3,-0.103,1.000,Click blocker Masonry batch 0,0.024,True
1,3,-0.104,1.000,Click blocker Masonry batch 0,0.017,True
2,3,-0.103,1.000,Click blocker Masonry batch 0,0.012,True
3,3,-0.108,1.000,Click blocker Masonry batch 0,0.017,True
4,3,-0.109,1.000,Click blocker Masonry batch 0,0.018,True
