strong,time,flash,sunIntensity
False,0.02111,0.46382,0.72000
False,0.04130,0.65360,0.72000
False,0.06136,0.83202,0.72000
False,0.08128,0.95857,0.72000
False,0.10143,1.00000,0.72000
False,0.12156,0.95048,0.72000
False,0.14143,0.82331,0.72000
False,0.16142,0.65788,0.72000
False,0.18345,0.48627,0.72000
False,0.20557,0.37240,0.72000
False,0.22740,0.34021,0.72000
False,0.24920,0.38428,0.72000
False,0.27084,0.48072,0.72000
False,0.29237,0.59537,0.72000
False,0.31390,0.69266,0.72000
False,0.33561,0.74358,0.72000
False,0.35648,0.73405,0.72000
False,0.37660,0.67366,0.72000
False,0.39677,0.57828,0.72000
False,0.41717,0.46824,0.72000
False,0.43732,0.36625,0.72000
False,0.45775,0.28343,0.72000
False,0.47868,0.22511,0.72000
False,0.49883,0.19205,0.72000
False,0.51902,0.17545,0.72000
False,0.53907,0.16848,0.72000
False,0.55927,0.16524,0.72000
False,0.57936,0.16186,0.72000
False,0.59964,0.15606,0.72000
False,0.62081,0.14660,0.72000
False,0.64131,0.13427,0.72000
False,0.66208,0.11934,0.72000
False,0.68306,0.10281,0.72000
False,0.70395,0.08600,0.72000
False,0.72501,0.06967,0.72000
False,0.74622,0.05464,0.72000
False,0.76671,0.04194,0.72000
False,0.78786,0.03096,0.72000
False,0.80886,0.02222,0.72000
False,0.82988,0.01546,0.72000
False,0.85072,0.01047,0.72000
False,0.87161,0.00687,0.72000
False,0.89242,0.00438,0.72000
False,0.91315,0.00272,0.72000
False,0.93420,0.00163,0.72000
False,0.95495,0.00095,0.72000
False,0.97551,0.00054,0.72000
False,0.99616,0.00030,0.72000
False,1.01637,0.00016,0.72000
False,1.03678,0.00009,0.72000
False,1.05681,0.00004,0.72000
False,1.07682,0.00002,0.72000
False,1.09727,0.00001,0.72000
False,1.11749,0.00001,0.72000
False,1.13731,0.00000,0.72000
False,1.15710,0.00000,0.72000
False,1.17715,0.00000,0.72000
False,1.19679,0.00000,0.72000
False,1.21675,0.00000,0.72000
False,1.23643,0.00000,0.72000
False,1.25658,0.00000,0.72000
True,0.02030,0.45653,0.72000
True,0.04057,0.64665,0.72000
True,0.06117,0.83050,0.72000
True,0.08128,0.95861,0.72000
True,0.10188,1.00000,0.72000
True,0.12235,0.94668,0.72000
True,0.14272,0.81323,0.72000
True,0.16285,0.64580,0.72000
True,0.18343,0.48637,0.72000
True,0.20393,0.37813,0.72000
True,0.22446,0.33978,0.72000
True,0.24490,0.37045,0.72000
True,0.26545,0.45354,0.72000
True,0.28608,0.56210,0.72000
True,0.30680,0.66451,0.72000
True,0.32742,0.73126,0.72000
True,0.34760,0.74527,0.72000
True,0.36821,0.70417,0.72000
True,0.38893,0.61819,0.72000
True,0.40920,0.51142,0.72000
True,0.42962,0.40340,0.72000
True,0.45000,0.31190,0.72000
True,0.47062,0.24441,0.72000
True,0.49100,0.20255,0.72000
True,0.51183,0.17991,0.72000
True,0.53215,0.17020,0.72000
True,0.55259,0.16618,0.72000
True,0.57314,0.16308,0.72000
True,0.59329,0.15820,0.72000
True,0.61324,0.15039,0.72000
True,0.63342,0.13935,0.72000
True,0.65331,0.12588,0.72000
True,0.67323,0.11067,0.72000
True,0.69299,0.09480,0.72000
True,0.71321,0.07869,0.72000
True,0.73401,0.06308,0.72000
True,0.75444,0.04931,0.72000
True,0.77515,0.03730,0.72000
True,0.79595,0.02735,0.72000
True,0.81635,0.01959,0.72000
True,0.83691,0.01360,0.72000
True,0.85774,0.00912,0.72000
True,0.87786,0.00602,0.72000
True,0.89835,0.00384,0.72000
True,0.91899,0.00237,0.72000
True,0.93961,0.00142,0.72000
True,0.96005,0.00083,0.72000
True,0.98068,0.00047,0.72000
True,1.00118,0.00026,0.72000
True,1.02175,0.00014,0.72000
True,1.04231,0.00007,0.72000
True,1.06246,0.00004,0.72000
True,1.08280,0.00002,0.72000
True,1.10339,0.00001,0.72000
True,1.12396,0.00000,0.72000
True,1.14446,0.00000,0.72000
True,1.16481,0.00000,0.72000
True,1.18519,0.00000,0.72000
True,1.20526,0.00000,0.72000
True,1.22553,0.00000,0.72000
True,1.24594,0.00000,0.72000
True,1.26610,0.00000,0.72000
