strong,time,flash,exposure,sun
False,0.00000,0.00000,0.15000,0.72000
False,0.01554,0.41450,1.28988,0.72000
False,0.03321,0.57660,1.73566,0.72000
False,0.04874,0.72313,2.13861,0.72000
False,0.06612,0.86830,2.53781,0.72000
False,0.08174,0.96063,2.79174,0.72000
False,0.09912,1.00000,2.90000,0.72000
False,0.11484,0.97783,2.83904,0.72000
False,0.13218,0.88979,2.59693,0.72000
False,0.14780,0.77248,2.27433,0.72000
False,0.18680,0.46435,1.42695,0.72000
False,0.23016,0.34189,1.09021,0.72000
False,0.24542,0.37200,1.17300,0.72000
False,0.28851,0.57505,1.73138,0.72000
False,0.30376,0.65110,1.94053,0.72000
False,0.32160,0.71727,2.12250,0.72000
False,0.33741,0.74508,2.19896,0.72000
False,0.36708,0.70772,2.09622,0.72000
False,0.38228,0.64947,1.93604,0.72000
False,0.40038,0.55918,1.68774,0.72000
False,0.41611,0.47391,1.45324,0.72000
False,0.43362,0.38375,1.20530,0.72000
False,0.44929,0.31471,1.01544,0.72000
False,0.46696,0.25445,0.84975,0.72000
False,0.48270,0.21688,0.74641,0.72000
False,0.50086,0.18975,0.67181,0.72000
False,0.51681,0.17668,0.63586,0.72000
False,0.53638,0.16909,0.61499,0.72000
False,0.55226,0.16622,0.60711,0.72000
False,0.57034,0.16357,0.59983,0.72000
False,0.58627,0.16021,0.59059,0.72000
False,0.60362,0.15455,0.57502,0.72000
False,0.61958,0.14724,0.55492,0.72000
False,0.63731,0.13689,0.52644,0.72000
False,0.65340,0.12581,0.49599,0.72000
False,0.67109,0.11236,0.45899,0.72000
False,0.68703,0.09962,0.42395,0.72000
False,0.71738,0.07546,0.35752,0.72000
False,0.73265,0.06406,0.32616,0.72000
False,0.75092,0.05155,0.29177,0.72000
False,0.76662,0.04199,0.26548,0.72000
False,0.78426,0.03268,0.23987,0.72000
False,0.79989,0.02570,0.22067,0.72000
False,0.81911,0.01869,0.20139,0.72000
False,0.83474,0.01415,0.18892,0.72000
False,0.85213,0.01019,0.17801,0.72000
False,0.86776,0.00744,0.17047,0.72000
False,0.88504,0.00516,0.16419,0.72000
False,0.90065,0.00364,0.16001,0.72000
False,0.91819,0.00241,0.15663,0.72000
False,0.93398,0.00163,0.15449,0.72000
False,0.95164,0.00104,0.15285,0.72000
False,0.96716,0.00068,0.15188,0.72000
False,0.98536,0.00041,0.15112,0.72000
False,1.00091,0.00026,0.15071,0.72000
False,1.01904,0.00015,0.15041,0.72000
False,1.03502,0.00009,0.15025,0.72000
False,1.05358,0.00005,0.15013,0.72000
False,1.06882,0.00003,0.15008,0.72000
False,1.08747,0.00002,0.15004,0.72000
False,1.10296,0.00001,0.15002,0.72000
False,1.12114,0.00000,0.15001,0.72000
False,1.13667,0.00000,0.15001,0.72000
False,1.15388,0.00000,0.15000,0.72000
False,1.16950,0.00000,0.15000,0.72000
False,1.20812,0.00000,0.15000,0.72000
False,1.22335,0.00000,0.15000,0.72000
False,1.24104,0.00000,0.15000,0.72000
False,1.25656,0.00000,0.15000,0.72000
False,1.27450,0.00000,0.15000,0.72000
False,1.29018,0.00000,0.15000,0.72000
False,1.30756,0.00000,0.15000,0.72000
True,0.00000,0.00000,0.15000,0.72000
True,0.01795,0.43556,1.60914,0.72000
True,0.03347,0.57903,2.08977,0.72000
True,0.06882,0.88737,3.12268,0.72000
True,0.08419,0.97071,3.40188,0.72000
True,0.10190,1.00000,3.50000,0.72000
True,0.11744,0.96838,3.39408,0.72000
True,0.13559,0.86653,3.05289,0.72000
True,0.15133,0.74322,2.63979,0.72000
True,0.16943,0.59136,2.13106,0.72000
True,0.18504,0.47571,1.74364,0.72000
True,0.20258,0.38322,1.43379,0.72000
True,0.21821,0.34372,1.30146,0.72000
True,0.23722,0.35164,1.32801,0.72000
True,0.25351,0.40029,1.49098,0.72000
True,0.27099,0.48151,1.76307,0.72000
True,0.28673,0.56559,2.04473,0.72000
True,0.30435,0.65377,2.34012,0.72000
True,0.31999,0.71269,2.53751,0.72000
True,0.33828,0.74565,2.64793,0.72000
True,0.35372,0.73864,2.62444,0.72000
True,0.37166,0.69246,2.46975,0.72000
True,0.38727,0.62626,2.24798,0.72000
True,0.40480,0.53536,1.94345,0.72000
True,0.42039,0.45103,1.66095,0.72000
True,0.43959,0.35586,1.34213,0.72000
True,0.45500,0.29310,1.13188,0.72000
True,0.48630,0.21024,0.85431,0.72000
True,0.50230,0.18821,0.78052,0.72000
True,0.51967,0.17511,0.73661,0.72000
True,0.53533,0.16934,0.71730,0.72000
True,0.55277,0.16615,0.70660,0.72000
True,0.56831,0.16391,0.69909,0.72000
True,0.58614,0.16025,0.68683,0.72000
True,0.60130,0.15545,0.67075,0.72000
True,0.61820,0.14795,0.64564,0.72000
True,0.63358,0.13925,0.61647,0.72000
True,0.65203,0.12681,0.57481,0.72000
True,0.66745,0.11520,0.53593,0.72000
True,0.68519,0.10110,0.48867,0.72000
True,0.70091,0.08843,0.44623,0.72000
True,0.71833,0.07473,0.40035,0.72000
True,0.73391,0.06315,0.36155,0.72000
True,0.75210,0.05079,0.32015,0.72000
True,0.76759,0.04144,0.28883,0.72000
True,0.78500,0.03232,0.25828,0.72000
True,0.80076,0.02534,0.23491,0.72000
True,0.81866,0.01883,0.21309,0.72000
True,0.83440,0.01424,0.19771,0.72000
True,0.85393,0.00983,0.18294,0.72000
True,0.86954,0.00717,0.17403,0.72000
True,0.88731,0.00491,0.16645,0.72000
True,0.90277,0.00347,0.16162,0.72000
True,0.92041,0.00229,0.15765,0.72000
True,0.93601,0.00155,0.15520,0.72000
True,0.95350,0.00099,0.15330,0.72000
True,0.96931,0.00064,0.15215,0.72000
True,0.98643,0.00040,0.15133,0.72000
True,1.00207,0.00025,0.15084,0.72000
True,1.02025,0.00014,0.15048,0.72000
True,1.03580,0.00009,0.15029,0.72000
True,1.05355,0.00005,0.15016,0.72000
True,1.06902,0.00003,0.15010,0.72000
True,1.08704,0.00002,0.15005,0.72000
True,1.10266,0.00001,0.15003,0.72000
True,1.11985,0.00000,0.15002,0.72000
True,1.13533,0.00000,0.15001,0.72000
True,1.16488,0.00000,0.15000,0.72000
True,1.18002,0.00000,0.15000,0.72000
True,1.22269,0.00000,0.15000,0.72000
True,1.23993,0.00000,0.15000,0.72000
True,1.25541,0.00000,0.15000,0.72000
True,1.27369,0.00000,0.15000,0.72000
True,1.28910,0.00000,0.15000,0.72000
True,1.30612,0.00000,0.15000,0.72000
