Event	ID	Name			Wwise Object Path	Notes
	193927641	Play_World_Ambience			\Vesper_W11\Play_World_Ambience	
	1602358412	Play_Footstep			\Vesper_W11\Play_Footstep	
	1923763734	Play_Lake_Ambience			\Vesper_W11\Play_Lake_Ambience	

Switch Group	ID	Name			Wwise Object Path	Notes
	63790334	SurfaceType			\Vesper_W11\SurfaceType	

Switch	ID	Name	Switch Group			Notes
	712897245	Mud	SurfaceType			
	787898836	Snow	SurfaceType			
	2144363834	Rock	SurfaceType			
	2185786256	Gravel	SurfaceType			

State Group	ID	Name			Wwise Object Path	Notes
	3686139462	Area			\Vesper_W11\Area	

State	ID	Name	State Group			Notes
	491961918	Forest	Area			
	748895195	None	Area			
	4106755421	SnowMountain	Area			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1866329414	RainIntensity			\Vesper_W11\RainIntensity	
	3729505769	TimeOfDay			\Vesper_W11\TimeOfDay	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	15838892	rdwind_01_1	.cache\F9\{F9925D6C-7004-C119-AE26-35FA292BC96A}.wem		\Containers\Vesper_W11\World_Ambience\SnowMountain\Snow_Gusts\rdwind_01_1		300854
	24526420	footstep_rock6_6	.cache\C5\{C5C32DE9-4A8D-73AA-08A8-25B750922350}.wem		\Containers\Vesper_W11\Footsteps\Rock\footstep_rock6_6		44702
	26697983	footstep_rock2_2	.cache\27\{279D7B7B-6018-A52D-A0DD-93CBADFD5F02}.wem		\Containers\Vesper_W11\Footsteps\Rock\footstep_rock2_2		36160
	47026132	footstep_rock_1	.cache\47\{47FD45F4-4052-C238-8254-3E8A6C8BE764}.wem		\Containers\Vesper_W11\Footsteps\Rock\footstep_rock_1		38058
	47517527	background_01_1	.cache\67\{671C127F-ACD4-1C63-7D72-EDF7CCC05D69}.wem		\Containers\Vesper_W11\World_Ambience\Forest\Rain_Bed\background_01_1		5494396
	49324607	background_01_1	.cache\0E\{0ECDE263-477C-C511-0128-5C6D0D53757C}.wem		\Containers\Vesper_W11\World_Ambience\SnowMountain\Snow_Wind\background_01_1		2352096
	70164096	rdwind3_3	.cache\A4\{A4F7017B-7983-C299-2F2C-5B7586D06808}.wem		\Containers\Vesper_W11\World_Ambience\Forest\Day_Gusts\rdwind3_3		420096
	89783744	night_background_3	.cache\52\{52535179-4DE3-1D80-9C06-F10747392CD8}.wem		\Containers\Vesper_W11\World_Ambience\Forest\Night_Bed\night_background_3		2658068
	110322067	footstep_gravel_03_3	.cache\99\{99BC24A9-C875-E744-173B-CC3399ABFB85}.wem		\Containers\Vesper_W11\Footsteps\Gravel\footstep_gravel_03_3		89872
	114518460	background_02_2	.cache\F4\{F4BA1D37-236A-8D71-A32E-5F72DC0B6774}.wem		\Containers\Vesper_W11\World_Ambience\Forest\Rain_Bed\background_02_2		4464100
	126859189	footstep_snow_4	.cache\05\{05C1340A-9361-5432-C55B-03668562704F}.wem		\Containers\Vesper_W11\Footsteps\Snow\footstep_snow_4		79748
	153742970	rdwind_3	.cache\59\{59448CE3-6E8D-5EA0-9A05-C97B89332161}.wem		\Containers\Vesper_W11\World_Ambience\Forest\Rain_Gusts\rdwind_3		399770
	162827648	footstep_snow_02_2	.cache\C8\{C8F6E7BC-2C1E-8AC4-0DB3-7B4FE3405CCF}.wem		\Containers\Vesper_W11\Footsteps\Snow\footstep_snow_02_2		82908
